DSM ID (monitor C code),Proposed SMAX canonical name,Confidence,Alternatives / notes (if not HIGH),Verified,C source file(s) (cursesmonitor/src),Display JSON file(s)
"RETURN_AIR_TEMP_F (dsmGetElement, aCMonitor.c:309; placeholder was DSM_AC_TEMP_C — not a real C identifier)",DSM:corcon:CORR_PACU_STATUS_X:RETURN_AIR_TEMP_F,MEDIUM,"C-code verified: RETURN_AIR_TEMP_F is directly read via dsmGetElement(&aCStatus,...) at aCMonitor.c:309. Other temp fields also literally read in this file: DIGITAL_RACK_RETURN_AIR_TEMP_V9_F (:155), ANALOG_RACK_RETURN_AIR_TEMP_V14_F (:187), SUPPLY_AIR_TEMP_F (:306)/DX_LEAVING_AIR_TEMP_F (:307)/MIXED_AIR_TEMP_F (:308)/OUTSIDE_AIR_TEMP_F (:310) — pick the one matching the intended sensor",,aCMonitor.c,aCmonitor.json
"RETURN_DUCT_SMOKE_B (dsmGetElement, aCMonitor.c:283; placeholder was DSM_AC_SMOKE — not a real C identifier)",DSM:corcon:CORR_PACU_STATUS_X:RETURN_DUCT_SMOKE_B,MEDIUM,"C-code verified: read at aCMonitor.c:283 (note: C code stores result into the wrong local var acs.supply_duct_smoke — an aCMonitor.c bug, not an smax.json issue). Also read in this file: SUPPLY_DUCT_SMOKE_B (:250), ANALOG_RACK_SMOKE_V14_B (:197), DIGITAL_RACK_SMOKE_V9_B (:165)",,aCMonitor.c,aCmonitor.json
"RETURN_FAN_STARTED_B (dsmGetElement, aCMonitor.c:280; placeholder was DSM_AC_FAN_STATUS — not a real C identifier)",DSM:corcon:CORR_PACU_STATUS_X:RETURN_FAN_STARTED_B,MEDIUM,"C-code verified: read at aCMonitor.c:280. Also read: SUPPLY_FAN_STARTED_B (:247), SUPPLY_FAN_ENABLE_B (:246), RETURN_FAN_ENABLE_B (:279)",,aCMonitor.c,aCmonitor.json
"COMPRESSOR_1_STAGE_A_B (dsmGetElement, aCMonitor.c:218; placeholder was DSM_AC_COMPRESSOR1 — not a real C identifier)",DSM:corcon:CORR_PACU_STATUS_X:COMPRESSOR_1_STAGE_A_B,MEDIUM,Corrected from prior COMPRESSOR_1_ALARM_B proposal: aCMonitor.c does NOT read ALARM_B at all — it reads STAGE_A_B (:218) and STAGE_B_B (:225). ALARM_B exists live in the same struct and may still be the better single-cell 'Compressor 1 status' semantic for this simplified display; flagging both,,aCMonitor.c,aCmonitor.json
"COMPRESSOR_2_STAGE_A_B (dsmGetElement, aCMonitor.c:232; placeholder was DSM_AC_COMPRESSOR2 — not a real C identifier)",DSM:corcon:CORR_PACU_STATUS_X:COMPRESSOR_2_STAGE_A_B,MEDIUM,"Same correction as Compressor 1: aCMonitor.c reads STAGE_A_B (:232)/STAGE_B_B (:239), not ALARM_B. ALARM_B exists live but is not literally read by this file",,aCMonitor.c,aCmonitor.json
(no C-code read found — placeholder DSM_AC_HUMIDITY was invented; aCMonitor.c never reads a humidity field),DSM:corcon:CORR_PACU_STATUS_X:RETURN_AIR_REL_HUM_F,LOW,"aCMonitor.c's screen() has no humidity display at all — RETURN_AIR_REL_HUM_F/SUPPLY_AIR_REL_HUM_F/OUTSIDE_AIR_REL_HUM_F all exist live in the same CORR_PACU_STATUS_X struct aCMonitor.c already reads, but none is used by this curses page. Confidence lowered from MEDIUM to LOW since there's no C-code usage to anchor the choice",,aCMonitor.c,aCmonitor.json
(no C-code read found — placeholder DSM_PACU_STATUS was invented; no composite status field exists),(no match found),NO MATCH,Confirmed: no single composite 'status' field in CORR_PACU_STATUS_X (50+ individual fields) is read anywhere in aCMonitor.c as one value. Needs Marc to pick specific field(s) or drop this cell / replace with multiple cells,,aCMonitor.c,aCmonitor.json
"DSM_SMA_TEMP_F (dsmRead, airHandler.c:650; INACTIVE/commented — superseded by dsm_structure_get_element(TEMP_F) on the already-fetched SMA_METEOROLOGY_X struct at :638)",DSM:colossus:SMA_METEOROLOGY_X:TEMP_F,HIGH,"Already resolved in airhandler.json (uses the real canonical name directly, not a placeholder). Column-1 name is a genuine legacy C identifier, just from dead/commented code rather than the active read path",x,airHandler.c,airhandler.json
"DSM_SMA_HUMIDITY_F (dsmRead, airHandler.c:879; INACTIVE/commented — superseded by dsm_structure_get_element(HUMIDITY_F) on the same SMA_METEOROLOGY_X struct)",DSM:colossus:SMA_METEOROLOGY_X:HUMIDITY_F,HIGH,"Already resolved in airhandler.json. Column-1 name is a genuine legacy C identifier from dead/commented code, not fabricated",x,airHandler.c,airhandler.json
DSM_ESTOP_COMMAND_S,DSM:acc{ant}:DSM_ESTOP_COMMAND_S,HIGH,"C-code verified at antPage2.c:557, node acc<N>.",x,antMonitor.c; antPage2.c,antdrive.json
